Unnamed: 0,id,keyword,description,views,reply,quote_count,favorite_count,retweet_count,bookmark_count,created_at,image,image_data,link,rest_id
0,VXNlcjoyNTI2NDgwMDgx,,"Send your hard-earned money instantly to Pakistan with Ace Money Transfer!

Your loved ones can receive this money within seconds through over 900+ Bank Alfalah branches in Pakistan.

Fast, secure, and hassle-free. Send money the Ace way! 

#BankAlfalah #TheWayForward… https://t.co/V3NQj6Um95",1164315.0,1088.0,87.0,27125.0,1448.0,32.0,2023-10-08 09:12:54+00:00,https://pbs.twimg.com/amplify_video_thumb/1710946151011332096/img/QkE3EeTKsqiRxfLz.jpg,https://video.twimg.com/amplify_video/1710946151011332096/vid/avc1/480x270/fVW261Leutyk60y6.mp4?tag=14,https://t.co/V3NQj6Um95,1710946358012813769
0,VXNlcjoyNTI2NDgwMDgx,,"Shoutout to the Unstoppable U for being the biggest motivation behind everything I have achieved. 

Here is a celebration in honor of your unstoppable strength and dedication, from myself and @Ufone . Keep supporting Team Green 🇵🇰 ❤
 
#UTouBabarHai https://t.co/ykLeJs4Ajs",874309.0,196.0,13.0,1896.0,110.0,5.0,2023-10-07 07:30:20+00:00,https://pbs.twimg.com/amplify_video_thumb/1710556589453635584/img/5rHLbU9HTMGOU6cP.jpg,https://video.twimg.com/amplify_video/1710556589453635584/vid/avc1/640x360/n4wver_LAJM6elyy.mp4?tag=14,https://t.co/ykLeJs4Ajs,1710558160619282942
0,VXNlcjoyNTI2NDgwMDgx,,🕶️☀️ https://t.co/0GRHhEzZn3,1373183.0,3525.0,487.0,84292.0,4507.0,126.0,2023-10-10 19:03:43+00:00,https://pbs.twimg.com/media/GDruaK8bMAAa8D4.jpg,https://video.twimg.com/amplify_video/1726586686858235904/vid/avc1/320x568/If66R-8M3POJoE1V.mp4?tag=14,https://t.co/0GRHhEzZn3,1745969945845055865
0,VXNlcjoyNTI2NDgwMDgx,,🕶️☀️ https://t.co/0GRHhEzZn3,1373183.0,3525.0,487.0,84292.0,4507.0,126.0,2024-01-13 00:44:08+00:00,https://pbs.twimg.com/media/GDruaK8bMAAa8D4.jpg,,https://t.co/0GRHhEzZn3,1745969945845055865
0,VXNlcjoyNTI2NDgwMDgx,,"A roller coaster year comes to an end with new hopes, lots of learning and better expectations from the coming year.

May the year 2024 brings joy &amp; good fortunes for everyone.

#HappyNewYear https://t.co/FyNO0Unzt9",962122.0,2656.0,515.0,46790.0,3711.0,123.0,2024-01-01 08:58:49+00:00,https://pbs.twimg.com/media/GCvsjU-agAA7nHn.jpg,,https://t.co/FyNO0Unzt9,1741745781802201289
0,VXNlcjoyNTI2NDgwMDgx,,"There is no shortcut to success except the ideology of Unity, Faith and Discipline.

The golden principals of Quaid-e-Azam are a constant source of guidance for us. 🫡

#QuaidDay",721108.0,1800.0,214.0,45740.0,4061.0,85.0,2023-12-25 09:10:37+00:00,,,,1739212037874668003
0,VXNlcjoyNTI2NDgwMDgx,,Lovely evening in Canberra ☕🎶 https://t.co/94AgaU0hPS,1436271.0,3604.0,510.0,94935.0,4842.0,125.0,2023-12-04 11:46:32+00:00,https://pbs.twimg.com/media/GAgGbN9bsAAqJoU.jpg,,https://t.co/94AgaU0hPS,1731641129035301269
0,VXNlcjoyNTI2NDgwMDgx,,"Congratulations on tying the knot @iFaheemAshraf 🎉 

Wishing you the best for the upcoming phase and may it prove to be a lucky one for both of you. Aameen. https://t.co/NdN9skMNdj",857318.0,964.0,79.0,55630.0,2117.0,30.0,2023-11-27 19:21:24+00:00,https://pbs.twimg.com/media/F_9raAmbgAAnXCl.jpg,,https://t.co/NdN9skMNdj,1729218886808318279
0,VXNlcjoyNDIwMDIwNDg5,,,,,,,,,2015-12-28 20:36:18+00:00,,,,2420020489
0,VXNlcjoyNTI2NDgwMDgx,,"Time to open your new innings of life @ImamUlHaq12! 🎆

Best of luck in the new journey. May it bring all the happiness in the world.

Please try to spend some time with your friends as well from now. Bhool na jana 😝 https://t.co/O4uOiKGeOa",1272670.0,2404.0,413.0,74739.0,3767.0,135.0,2023-11-26 18:01:15+00:00,https://pbs.twimg.com/media/F_4Pd_fbUAAp0Cm.jpg,,https://t.co/O4uOiKGeOa,1728836326068506769
